DF,DL,MUNICIPIO,LOCALIDAD,SECCION,TIPO,CASILLA,UBICACION
1,2,2,1) MEXICALI,378,C1,378 C1,"JARDÍN DE NIÑOS FEDERICO GARCÍA LORCA, CALLE HÉROES DE TLATELOLCO, SIN NÚMERO, FRACCIONAMIENTO EL PORVENIR, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE EL PORVENIR Y CALLE ZODIACO"
1,2,2,1) MEXICALI,378,C2,378 C2,"JARDÍN DE NIÑOS FEDERICO GARCÍA LORCA, CALLE HÉROES DE TLATELOLCO, SIN NÚMERO, FRACCIONAMIENTO EL PORVENIR, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE EL PORVENIR Y CALLE ZODIACO"
1,2,2,1) MEXICALI,379,B,379 B,"PARQUE PÚBLICO EL PORVENIR, AVENIDA DE LA FORTUNA, SIN NÚMERO, FRACCIONAMIENTO EL PORVENIR, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES VISIÓN Y DEL ZODIACO"
1,2,2,1) MEXICALI,379,C1,379 C1,"PARQUE PÚBLICO EL PORVENIR, AVENIDA DE LA FORTUNA, SIN NÚMERO, FRACCIONAMIENTO EL PORVENIR, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES VISIÓN Y DEL ZODIACO"
1,2,2,1) MEXICALI,380,B,380 B,"ESCUELA PRIMARIA CORREGIDORA DE QUERÉTARO, CALLE ZODIACO, SIN NÚMERO, COLONIA CORREGIDORA, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDAS CORREGIDORA NORTE Y CORREGIDORA SUR"
1,2,2,1) MEXICALI,380,C1,380 C1,"ESCUELA PRIMARIA CORREGIDORA DE QUERÉTARO, CALLE ZODIACO, SIN NÚMERO, COLONIA CORREGIDORA, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDAS CORREGIDORA NORTE Y CORREGIDORA SUR"
1,2,2,1) MEXICALI,381,B,381 B,"DOMICILIO PARTICULAR, AVENIDA DE LOS AUGURIOS, NÚMERO 3065, COLONIA VALLE DEL ÁLAMO, CÓDIGO POSTAL 21225, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES ÁLAMO TEMBLÓN Y ÁLAMO CHOPO"
1,2,2,1) MEXICALI,381,C1,381 C1,"DOMICILIO PARTICULAR, AVENIDA DE LOS AUGURIOS, NÚMERO 3065, COLONIA VALLE DEL ÁLAMO, CÓDIGO POSTAL 21225, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES ÁLAMO TEMBLÓN Y ÁLAMO CHOPO"
1,2,2,1) MEXICALI,382,B,382 B,"DOMICILIO PARTICULAR, AVENIDA DE LOS DESEOS, NÚMERO 3144, COLONIA VALLE ÁLAMO, CÓDIGO POSTAL 21225, MEXICALI, BAJA CALIFORNIA., ENTRE CALLES ÁLAMO PIRAMIDAL Y ÁLAMO TEMBLÓN"
1,2,2,1) MEXICALI,382,C1,382 C1,"DOMICILIO PARTICULAR, AVENIDA DE LOS DESEOS, NÚMERO 3144, COLONIA VALLE ÁLAMO, CÓDIGO POSTAL 21225, MEXICALI, BAJA CALIFORNIA., ENTRE CALLES ÁLAMO PIRAMIDAL Y ÁLAMO TEMBLÓN"
1,2,2,1) MEXICALI,383,B,383 B,"JARDÍN DE NIÑOS LORENZO FILHO, AVENIDA CULTURA ZAPOTECA, SIN NÚMERO, COLONIA IMPERIAL, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES IMPERIO ROMANO E IMPERIO INCA"
1,2,2,1) MEXICALI,383,C1,383 C1,"JARDÍN DE NIÑOS LORENZO FILHO, AVENIDA CULTURA ZAPOTECA, SIN NÚMERO, COLONIA IMPERIAL, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES IMPERIO ROMANO E IMPERIO INCA"
1,2,2,1) MEXICALI,383,C2,383 C2,"JARDÍN DE NIÑOS LORENZO FILHO, AVENIDA CULTURA ZAPOTECA, SIN NÚMERO, COLONIA IMPERIAL, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES IMPERIO ROMANO E IMPERIO INCA"
1,2,2,1) MEXICALI,384,B,384 B,"ESCUELA PRIMARIA RICARDO FLORES MAGÓN, AVENIDA GENOVEVO DE LA O, SIN NÚMERO, COLONIA RICARDO FLORES MAGÓN, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES JAVIER ROJO GÓMEZ Y GENERAL BERNARDO REYES"
1,2,2,1) MEXICALI,384,C1,384 C1,"ESCUELA PRIMARIA RICARDO FLORES MAGÓN, AVENIDA GENOVEVO DE LA O, SIN NÚMERO, COLONIA RICARDO FLORES MAGÓN, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES JAVIER ROJO GÓMEZ Y GENERAL BERNARDO REYES"
1,2,2,1) MEXICALI,385,B,385 B,"CENTRO DE DESARROLLO INTEGRAL DE LA FAMILIA JOSEFA ORTÍZ DE DOMÍNGUEZ, CALLE FRANCISCO R. SERRANO, SIN NÚMERO, COLONIA JOSEFA ORTÍZ DE DOMÍNGUEZ, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDAS GILDARDO MAGAÑA Y RAFAEL BUELNA"
1,2,2,1) MEXICALI,385,C1,385 C1,"CENTRO DE DESARROLLO INTEGRAL DE LA FAMILIA JOSEFA ORTÍZ DE DOMÍNGUEZ, CALLE FRANCISCO R. SERRANO, SIN NÚMERO, COLONIA JOSEFA ORTÍZ DE DOMÍNGUEZ, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDAS GILDARDO MAGAÑA Y RAFAEL BUELNA"
