MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
TIJUANA,5,9,1307,URBANO(A),38,22,45,20,59,39,71,56,SI,SWITCH,1,ADULTOS MAYORES,MEDIA ALTA,902,136,65,137
TIJUANA,5,9,1308,URBANO(A),60,38,55,25,73,43,64,44,SI,OPOSITOR,3,MIXTO,MEDIA ALTA,1073,225,161,226
TIJUANA,5,9,1309,URBANO(A),55,37,51,10,51,25,52,46,SI,OPOSITOR,3,MIXTO,MEDIA,1511,366,314,367
TIJUANA,5,9,1310,URBANO(A),44,30,47,20,60,37,58,52,SI,SWITCH,1,ADULTOS MAYORES,MEDIA,1178,249,191,250
TIJUANA,5,8,1311,URBANO(A),48,40,58,26,61,43,37,38,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,1365,273,236,274
TIJUANA,5,8,1312,URBANO(A),74,48,93,31,73,56,55,55,SI,SWITCH,1,JOVENES,MEDIA,1130,261,206,262
TIJUANA,5,9,1313,URBANO(A),55,34,51,26,89,60,66,70,SI,SWITCH,1,MIXTO,MEDIA ALTA,978,195,129,196
TIJUANA,5,9,1314,URBANO(A),109,49,98,55,172,112,136,138,SI,SWITCH,1,ADULTOS MAYORES,ALTA,1151,261,125,262
TIJUANA,5,9,1315,URBANO(A),48,32,48,8,58,30,56,47,SI,OPOSITOR,3,DISCAPACITADOS,MEDIA,815,157,101,158
TIJUANA,5,9,1316,URBANO(A),59,35,47,19,49,32,31,24,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,948,208,177,209
TIJUANA,5,9,1317,URBANO(A),69,50,70,19,59,32,56,45,SI,SWITCH,1,MIXTO,MEDIA ALTA,1208,309,253,310
TIJUANA,5,9,1318,URBANO(A),165,78,147,107,259,182,290,277,SI,SWITCH,1,MIXTO,ALTA,2205,359,69,360
TIJUANA,5,8,1319,URBANO(A),79,61,106,44,100,69,80,86,SI,SWITCH,1,MIXTO,MEDIA,2278,488,408,489
